Author,Feature,Model,Accuracy,Precision,Recall,F1
AAltan,BERT,DecisionTree,0.25416666666666665,0.16666666666666666,0.125,0.14285714285714285
AAltan,BERT,MLP,0.6041666666666666,0.7272727272727273,1.0,0.8421052631578947
AAltan,BERT,RandomForest,0.5083333333333333,0.23809523809523808,0.625,0.3448275862068966
AAltan,BERT,SVM,0.4125,0.20689655172413793,0.75,0.32432432432432434
AAltan,BERT,XGBoost,0.4791666666666667,1.0,0.5,0.6666666666666666
AAltan,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.7142857142857143,0.625,0.6666666666666666
AAltan,TFIDF_Char_2gram,MLP,0.9083333333333333,1.0,1.0,1.0
AAltan,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,1.0,1.0
AAltan,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.6666666666666666,1.0,0.8
AAltan,TFIDF_Char_2gram,SVM,0.9,0.8888888888888888,1.0,0.9411764705882353
AAltan,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.8888888888888888,1.0,0.9411764705882353
AAltan,TFIDF_Char_3gram,DecisionTree,0.5,0.3,0.375,0.3333333333333333
AAltan,TFIDF_Char_3gram,MLP,0.9083333333333333,0.8,1.0,0.8888888888888888
AAltan,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,1.0,0.625,0.7692307692307693
AAltan,TFIDF_Char_3gram,RandomForest,0.8958333333333334,0.5714285714285714,1.0,0.7272727272727273
AAltan,TFIDF_Char_3gram,SVM,0.8958333333333334,1.0,1.0,1.0
AAltan,TFIDF_Char_3gram,XGBoost,0.825,0.6363636363636364,0.875,0.7368421052631579
AAltan,TFIDF_Word_2gram,DecisionTree,0.2125,0.14285714285714285,0.125,0.13333333333333333
AAltan,TFIDF_Word_2gram,MLP,0.5708333333333333,0.5833333333333334,0.875,0.7
AAltan,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.6363636363636364,0.875,0.7368421052631579
AAltan,TFIDF_Word_2gram,RandomForest,0.45,0.8333333333333334,0.625,0.7142857142857143
AAltan,TFIDF_Word_2gram,SVM,0.5333333333333333,0.8571428571428571,0.75,0.8
AAltan,TFIDF_Word_2gram,XGBoost,0.425,0.5,0.75,0.6
AAltan,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.5,0.25,0.3333333333333333
AAltan,TFIDF_Word_3gram,MLP,0.275,0.5,0.25,0.3333333333333333
AAltan,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.2,0.5,0.2857142857142857
AAltan,TFIDF_Word_3gram,RandomForest,0.2625,0.6666666666666666,0.25,0.36363636363636365
AAltan,TFIDF_Word_3gram,SVM,0.3125,0.36363636363636365,0.5,0.42105263157894735
AAltan,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.3,0.375,0.3333333333333333
